id,class,domain,seq,owning_doc,statement,priority,verification,status,supersedes,superseded_by,extraction_source
CFG-PLT-009,CFG,PLT,009,DOC-01,"Configuration changes MUST be validated before activation, and invalid configuration MUST be rejected with a specific diagnosis rather than accepted and failing at use.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-010,CFG,PLT,010,DOC-01,"Configuration MUST be versioned, and the platform MUST support reverting a configuration change.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-011,CFG,PLT,011,DOC-01,"The platform MUST support export and import of a tenant's configuration, enabling promotion between environments and disaster recovery of configuration state.",SHOULD_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-012,CFG,PLT,012,DOC-01,"All configuration changes MUST be audit-logged with actor, before value, and after value, and configuration surfaces affecting authorization, risk, or service levels MUST require permissions distinct from operational permissions.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PTR-001,CFG,PTR,001,DOC-01,"Intake field groups, conditional visibility, required-field rules, readiness attestation content, and approval gate activation MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-RSK-001,CFG,RSK,001,DOC-01,Risk model factor weights MUST be tenant-configurable within product-defined validated bounds. The factor set and the model's structural form MUST NOT be tenant-configurable.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-RSK-002,CFG,RSK,002,DOC-01,"Service level policies, business calendars including working days and holidays, timezone, and escalation chains MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-TEN-001,CFG,TEN,001,DOC-01,"Data residency designation, retention periods within regulatory bounds, and legal hold designation MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-VUL-001,CFG,VUL,001,DOC-01,"The severity taxonomy — value count, names, and ordering — MUST be tenant-configurable over a product-fixed internal ordinal.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-WRK-001,CFG,WRK,001,DOC-01,"Work item types, their field schemas, and their default views MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-WRK-002,CFG,WRK,002,DOC-01,"Workflows — states, transitions, guards, required fields, and transition permissions — MUST be tenant-configurable as data, per work item type, and MUST be validated before activation.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-WRK-003,CFG,WRK,003,DOC-01,"Custom fields with typed values, validation, conditional visibility, and participation in filtering, search, and export MUST be tenant-configurable per work item type and per asset type.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-WRK-004,CFG,WRK,004,DOC-01,Work item templates and automation rules MUST be tenant-authorable.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CON-AIC-001,CON,AIC,001,DOC-01,"AI provider terms MUST permit the processing performed, and where a provider's terms permit training on submitted data, that provider MUST NOT be usable for tenant data without explicit tenant consent.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-001,CON,DAT,001,DOC-01,"Personal data processing MUST comply with the applicable regime in each deployment jurisdiction, including the Vietnamese personal data protection framework for the primary market and GDPR where EU data subjects are involved.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-002,CON,DAT,002,DOC-01,"Where a jurisdiction requires data localization for a data category, that data MUST NOT leave the designated region through any path including backup, telemetry, logging, notification, and AI provider egress.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-003,CON,DAT,003,DOC-01,"Personal data concerning employees, including workload and productivity measures, MUST be processed on a documented lawful basis with access limited to a defined purpose.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-004,CON,DAT,004,DOC-04,Foreign keys MUST NOT be declared across module boundaries. Cross-module referential integrity MUST be enforced in the domain layer and verified by a reconciliation job that reports orphans.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-005,CON,DAT,005,DOC-04,"Foreign keys MUST be declared for every intra-module relationship, with explicit ON DELETE behaviour, and ON DELETE CASCADE MUST NOT be used on any table carrying history.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-006,CON,DAT,006,DOC-04,Primary keys MUST be single-column time-ordered UUIDs named id. Composite and natural primary keys MUST NOT be used.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-007,CON,DAT,007,DOC-04,"Natural keys MUST be enforced as unique constraints scoped by tenant_id, and MUST NOT serve as primary keys.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-008,CON,DAT,008,DOC-04,"Human-facing codes MUST be stored in a dedicated column, unique within tenant, immutable after assignment, and MUST NOT encode any mutable attribute.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-009,CON,DAT,009,DOC-04,Scope descriptors MUST be embedded as columns on the scope-bearing row and MUST be immutable after insert.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-010,CON,DAT,010,DOC-04,"Every table MUST carry row_version for optimistic concurrency, and updates MUST be conditional on the expected version.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-011,CON,DAT,011,DOC-04,Tables MUST NOT carry a soft-delete flag. Entities that cannot be hard-deleted MUST carry an explicit lifecycle state.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-012,CON,DAT,012,DOC-04,"Every tenant-scoped table MUST have row-level security enabled and forced, with both a read policy and a write check.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-013,CON,DAT,013,DOC-04,"The tenant context function MUST raise where the session tenant is unset, and MUST NOT return null.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-014,CON,DAT,014,DOC-04,"Bypass roles MUST be enumerated as in §7.2, MUST use credentials unavailable to the application runtime, and each MUST emit an audit event on use.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-015,CON,DAT,015,DOC-04,tenant_id MUST be the leading column of every composite index on a tenant-scoped table.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-016,CON,DAT,016,DOC-04,"Tenant-configurable taxonomies MUST be stored as tables with an immutable code, a localized label document, and a product-fixed ordinal. Database enum types MUST NOT be used for any tenant-configurable value.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-017,CON,DAT,017,DOC-04,"Custom attributes MUST be stored in a typed document column with the schema in a registry, and MUST NOT use a column-per-field or entity-attribute-value design.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-018,CON,DAT,018,DOC-04,"Attributes marked searchable MUST be backed by an expression index, and the number of indexable attributes per type MUST be bounded and documented.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-019,CON,DAT,019,DOC-04,A reconciliation job MUST validate stored attribute documents against the registry and report violations.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-020,CON,DAT,020,DOC-04,"Every index MUST be documented with the query it serves. An index without a documented query MUST NOT be created, and an existing one MUST be removed or documented.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-021,CON,DAT,021,DOC-04,Operational queues MUST be served by partial indexes excluding terminal states.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-022,CON,DAT,022,DOC-04,Index creation and removal on tables above the §3 Medium volumes MUST be performable without blocking writes.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-023,CON,DAT,023,DOC-04,"Append-only tables MUST be range-partitioned by month, and retention MUST be implemented as partition drop rather than row deletion.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-024,CON,DAT,024,DOC-04,Partition keys MUST be aligned between tables that are frequently joined.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-025,CON,DAT,025,DOC-04,"Partition creation MUST be automated ahead of need, and a missing future partition MUST alert rather than fail an insert.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-026,CON,DAT,026,DOC-04,"A reconciliation job MUST rebuild the closure projection from org_node and assert equality with the maintained projection, reporting any divergence.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-027,CON,DAT,027,DOC-04,"The audit hash chain MUST cover the payload hash rather than the payload content, so that payload erasure leaves the chain verifiable.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-028,CON,DAT,028,DOC-04,Chain checkpoints MUST be anchored outside the platform's control at a configured interval.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-029,CON,DAT,029,DOC-04,"Legal hold MUST be enforced by a register consulted before partition drop, not by a per-row flag.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-030,CON,DAT,030,DOC-04,"Every projection MUST carry tenant_id as a structural partition or index prefix, and a projection query MUST NOT be able to span tenants.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-031,CON,DAT,031,DOC-04,"Every projection MUST be rebuildable from the operational store or the event stream, and the rebuild MUST be verifiable by comparison.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-032,CON,DAT,032,DOC-04,The latest computed value of any measure whose history is subject to partition drop MUST be retained in a projection.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-033,CON,DAT,033,DOC-04,Schema migrations MUST follow expand-migrate-contract and MUST NOT require atomic deployment of application and schema.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-034,CON,DAT,034,DOC-04,"Backfill MUST be a separate resumable throttled job, not part of a migration transaction.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-035,CON,DAT,035,DOC-04,"Hash partition counts MUST be fixed before first production data, and changing one MUST be treated as a full-table rewrite requiring a planned maintenance window.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-036,CON,DAT,036,DOC-04,Every migration MUST be followed by a cross-tenant assertion before being considered complete.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-037,CON,DAT,037,DOC-04,"Erasure MUST anonymize principal records rather than deleting them, retaining the identifier so that attributions remain resolvable.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-038,CON,DAT,038,DOC-04,"Erasure MUST require elevated permission distinct from administration, MUST be dual-controlled, and MUST be blocked by legal hold.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DAT-039,CON,DAT,039,DOC-04,"Every erasure MUST itself be audited, recording what was erased, on what basis, and by whom — without recording the erased content.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-DEP-001,CON,DEP,001,DOC-01,The platform MUST be deployable in an air-gapped environment with no outbound network access.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-LIC-001,CON,LIC,001,DOC-01,"Third-party components incorporated into the platform MUST have licences compatible with commercial distribution, and licence obligations MUST be discharged.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-001,CON,PLT,001,DOC-01,"The platform MUST NOT fetch, clone, or persist customer source code, and MUST NOT store source control credentials.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-002,CON,PLT,002,DOC-01,The platform MUST NOT execute customer build tooling or dependency resolution.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-003,CON,PLT,003,DOC-01,AI MUST NOT hold write authority over the system of record.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-004,CON,PLT,004,DOC-01,The platform MUST be deployable by any conglomerate without code modification.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-005,CON,PLT,005,DOC-01,"The platform MUST be English-first in all identifiers, schema, API, code, and documentation, with user-facing content localizable.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-006,CON,PLT,006,DOC-02,All domain modules MUST deploy as a single application artifact. Modules MUST NOT be independently deployable in this release.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-007,CON,PLT,007,DOC-02,"The application service and every worker tier MUST be stateless, holding no session, tenant, or work state between requests.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-008,CON,PLT,008,DOC-02,Vulnerability matching MUST execute in a worker process separate from the API tier.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-009,CON,PLT,009,DOC-02,The API gateway MUST NOT make authorization decisions. It assigns rate limit class and extracts request identity only.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-010,CON,PLT,010,DOC-02,"Each bounded context MUST correspond to exactly one module, and there MUST NOT be a second decomposition scheme layered over it.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-011,CON,PLT,011,DOC-02,Kernel modules MUST NOT depend on any domain module.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-012,CON,PLT,012,DOC-02,"Deterministic rule evaluation for workflows, automation, service level matching, and checklist selection MUST use a single shared evaluator.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-013,CON,PLT,013,DOC-02,"Cross-module imports MUST be restricted at build time to published contract surfaces, and a violation MUST fail the build rather than produce a warning.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-014,CON,PLT,014,DOC-02,"The permitted dependency direction between modules MUST match the relationship patterns of DOC-03 §5.3, and a dependency in the prohibited direction MUST fail the build.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-015,CON,PLT,015,DOC-02,No module MUST access another module's persistence directly. Data crosses boundaries through contracts or events only.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-016,CON,PLT,016,DOC-02,"The module dependency graph MUST be acyclic, and a cycle MUST fail the build.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-017,CON,PLT,017,DOC-02,"The domain layer MUST NOT depend on any persistence, framework, transport, or serialization concern, and this MUST be enforced at build time.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-018,CON,PLT,018,DOC-02,"Domain invariants MUST be enforced in the domain layer, not in the application layer, database constraints, or interface validation.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-019,CON,PLT,019,DOC-02,"A transaction MUST modify exactly one aggregate instance. Where an operation must change several, it MUST be modelled as a sequence with defined intermediate states and compensation.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-020,CON,PLT,020,DOC-02,"Where an operation spans aggregates, the resulting eventual consistency MUST be visible in the model and the interface. It MUST NOT be concealed by synchronous waiting.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-021,CON,PLT,021,DOC-02,"An audited operation MUST NOT be acknowledged as successful unless its audit event is durably recorded. Where audit recording fails, the operation MUST fail.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-022,CON,PLT,022,DOC-02,"Domain events whose loss would produce inconsistency MUST be persisted in the same transaction as the state change that produced them, and dispatched after commit.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-023,CON,PLT,023,DOC-02,"Every event consumer MUST be idempotent, and MUST tolerate at-least-once delivery and out-of-order arrival within a bounded window.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-024,CON,PLT,024,DOC-02,"Every event MUST carry its tenant identifier, and a consumer MUST establish tenant context from the event rather than inheriting ambient context.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-025,CON,PLT,025,DOC-02,Event consumers MUST NOT be able to write into the publishing module's aggregates.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-026,CON,PLT,026,DOC-02,Read model projections MUST be rebuildable from the event stream or from the operational store without downtime.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-027,CON,PLT,027,DOC-02,Projection lag MUST be observable per projection and MUST alert on exceeding its budget.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-028,CON,PLT,028,DOC-02,"Coverage and freshness MUST be materialized in projections alongside the measures they qualify, not computed at presentation time.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-029,CON,PLT,029,DOC-02,"A projection MUST enforce tenant partitioning structurally, and a projection query MUST NOT be able to span tenants.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-030,CON,PLT,030,DOC-02,"Work classes MUST use isolated queues with independent concurrency control, and INTERACTIVE work MUST NOT be blocked behind BATCH work.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-031,CON,PLT,031,DOC-02,Work items MUST be leased with expiry and automatic reclamation. Heartbeat-only liveness MUST NOT be used.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-032,CON,PLT,032,DOC-02,"Work items MUST be idempotent on a derived key, and retry MUST be bounded with backoff and a terminal failure state.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-033,CON,PLT,033,DOC-02,"Scheduled work MUST NOT overlap with a prior run of itself unless explicitly permitted, and MUST apply jitter.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-034,CON,PLT,034,DOC-02,Per-tenant concurrency caps MUST apply to BATCH and INTERACTIVE classes such that one tenant cannot starve another.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-035,CON,PLT,035,DOC-02,Tenant context MUST be propagated implicitly through the call chain rather than passed as an explicit parameter through every function signature.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-036,CON,PLT,036,DOC-02,"Data access MUST be reachable only through a gate that requires an established tenant context, and there MUST NOT be an alternative access path in application code.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-037,CON,PLT,037,DOC-02,"Authorization MUST be evaluated through the kernel contract, and repository or query execution MUST require an authorization decision as an input. A query MUST NOT be executable without one.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-038,CON,PLT,038,DOC-02,"Collection queries MUST accept the scope predicate as part of query construction, and MUST NOT support post-retrieval filtering as an authorization mechanism.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-039,CON,PLT,039,DOC-02,"Cache keys MUST be constructed by a mandatory constructor that includes tenant and, where the cached value is scope-dependent, a scope discriminator. Direct cache client access MUST NOT be available to application code.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-040,CON,PLT,040,DOC-02,"Authorization and scope resolution caches MUST be invalidated explicitly on hierarchy change, assignment change, role change, and node archival, within the bound of NFR-SEC-002.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-041,CON,PLT,041,DOC-02,Telemetry MUST carry tenant identity as a dimension and MUST NOT carry tenant data as payload.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-042,CON,PLT,042,DOC-02,"Every request and every work item MUST carry a correlation identifier propagated across module, process, and queue boundaries.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-043,CON,PLT,043,DOC-02,"No capability except audit MUST hold a hard dependency on an external service. Unavailability MUST degrade that capability only, with the degradation and its consequence visible in the interface.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-044,CON,PLT,044,DOC-02,Every degraded state MUST be observable in telemetry and MUST alert where it exceeds a configured duration.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-045,CON,PLT,045,DOC-02,"Extraction seams MUST be maintained as the module contracts evolve, and a contract change that would prevent extraction of a listed module MUST be recorded as a decision.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-PLT-046,CON,PLT,046,DOC-02,The implementation language and toolchain MUST support build-time enforcement of module boundary rules and static analysis of authorization patterns.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-SEC-001,CON,SEC,001,DOC-01,"The platform MUST meet OWASP ASVS Level 2 as a baseline, with Level 3 uplift for authentication, session management, cryptography, secrets management, and audit logging.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-SEC-002,CON,SEC,002,DOC-01,"The platform's own supply chain MUST be secured, with signed build artifacts, recorded provenance, dependency policy enforcement, and a published SBOM for the platform itself.",MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
CON-UIX-001,CON,UIX,001,DOC-01,The platform MUST conform to WCAG 2.2 Level AA.,MUST_HAVE,DOCUMENT_INSPECTION,Active,,,compact_table
INT-UIX-001,INT,UIX,001,DOC-08,"The interface MUST conform to WCAG 2.2 Level AA, verified by automated and manual testing, with conformance documented per success criterion.",MUST_HAVE,AUTOMATED_TEST|MANUAL_TEST,Active,,,compact_table
INT-UIX-002,INT,UIX,002,DOC-08,"Information MUST NOT be conveyed by colour alone, in any surface, chart, or diagram.",MUST_HAVE,AUTOMATED_TEST|MANUAL_TEST,Active,,,compact_table
INT-UIX-003,INT,UIX,003,DOC-08,"Every workflow MUST be completable by keyboard alone, with visible focus, logical order, and no keyboard trap.",MUST_HAVE,MANUAL_TEST,Active,,,compact_table
INT-UIX-004,INT,UIX,004,DOC-08,"The interface MUST support a high-contrast mode, MUST respect reduced-motion preference, and MUST remain usable at 200% zoom and 400% text scaling without loss of function or content.",MUST_HAVE,AUTOMATED_TEST|MANUAL_TEST,Active,,,compact_table
INT-UIX-005,INT,UIX,005,DOC-08,"Dynamic content changes MUST be announced to assistive technology, and asynchronous completion MUST NOT be signalled by a visual change alone.",MUST_HAVE,MANUAL_TEST,Active,,,compact_table
INT-UIX-006,INT,UIX,006,DOC-08,Charts MUST have a keyboard-accessible tabular alternative conveying the same information.,MUST_HAVE,MANUAL_TEST,Active,,,compact_table
INT-UIX-007,INT,UIX,007,DOC-08,"Form errors MUST be associated with their field, announced, and MUST NOT rely on position or colour.",MUST_HAVE,AUTOMATED_TEST|MANUAL_TEST,Active,,,compact_table
INT-UIX-008,INT,UIX,008,DOC-08,"Every user-facing string MUST be externalized with ICU message formatting for plurals, gender, and ordinals. String concatenation to build a sentence MUST NOT be used.",MUST_HAVE,AUTOMATED_TEST|CODE_REVIEW,Active,,,compact_table
INT-UIX-009,INT,UIX,009,DOC-08,"The interface MUST pass pseudo-localization testing without layout failure, string truncation, or untranslated string leakage.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
INT-UIX-010,INT,UIX,010,DOC-08,"Dates, times, numbers, and lists MUST be formatted per the viewer's locale, and instants MUST be rendered in the viewer's timezone with the zone indicated where ambiguity is possible.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
INT-UIX-011,INT,UIX,011,DOC-08,"Layout MUST support right-to-left direction, and directional iconography and interaction MUST mirror.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
INT-UIX-012,INT,UIX,012,DOC-08,"Tenant-authored content MUST render correctly in any script, and MUST NOT assume Latin script in display, sorting, search, or truncation.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
INT-UIX-013,INT,UIX,013,DOC-08,"Tenant vocabulary overrides MUST apply everywhere the overridden term appears, including navigation, tables, charts, reports, notifications, and exports.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
LIC-PLT-001,LIC,PLT,001,DOC-01,"The platform MUST support at minimum three entitlement tiers: an unpriced or low-cost participant tier, a practitioner tier, and an administrative tier.",MUST_HAVE,DEMONSTRATION,Active,,,compact_table
