# Requirement-to-test traceability matrix. Owned by DOC-16 section 16; format per DOC-00 section 8.3.
# Generated by tools/generate_matrix.py from _traceability/requirements.csv and the source tree.
#
# Three cell values, because a blank and a gap are different things:
#   <value>          the artifact, cited by requirement identifier in the source
#   N/A (reason)     the requirement owes no artifact: superseded, or verified by a
#                    method that produces no code (design inspection, demonstration,
#                    code review, architecture review, penetration test)
#   MISSING (reason) no artifact of that kind cites the requirement -- this is a GAP.
#                    Some requirements legitimately need no table and no endpoint, which is
#                    why only the test_case_id column feeds a release gate. This tool cannot
#                    tell the two apart, and says MISSING rather than guessing N/A.
#
# Evidence is a requirement identifier cited in source. That means somebody wrote the
# identifier next to the code; it is coverage, not conformance.
#
# 'Passing' is per test CLASS, from the JUnit XML: Gradle writes @DisplayName into the
# name attribute, so the method name is absent from the results. A @Disabled method is
# detected in source and never counted as passing.
#
# Release gates: see _traceability/GAPS.md.
requirement_id,owning_doc,design_ref,schema_ref,api_ref,test_case_id,verification_method,status,notes
CFG-RSK-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-RSK-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-TEN-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-VUL-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-WRK-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-WRK-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-WRK-003,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-WRK-004,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CON-AIC-001,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-001,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-002,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-003,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-004,DOC-04,N/A (verified by document inspection; no code artifact is owed),"work_item (table, V009__work_management.sql)",N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-005,DOC-04,N/A (verified by document inspection; no code artifact is owed),"external_grant_agreement (table, V010__assessment_and_intake.sql)",N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-006,DOC-04,N/A (verified by document inspection; no code artifact is owed),"component (table, V011__composition_analysis.sql); component_entry (table, V011__composition_analysis.sql); org_closure (table, V004__organization_scope.sql)",N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-007,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-008,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-009,DOC-04,ScopeDescriptor,"add_scope_descriptor (function, V004__organization_scope.sql); assessment_request (table, V010__assessment_and_intake.sql); asset (table, V005__asset_inventory.sql); +4 more",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#confirmationRequiresAReference; KernelPersistenceVerificationTest#scopeDescriptorIsImmutableAtTheEngine; ScopeDescriptorReproducibilityTest#<class-level citation>; +1 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-010,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-011,DOC-04,OrgNodeTypeCatalogue,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-012,DOC-04,TenantScopedAccess,"apply_tenant_isolation (function, V001__tenant_context_and_enforcement.sql); tenant_isolation_gaps (function, V001__tenant_context_and_enforcement.sql)",N/A (verified by document inspection; no code artifact is owed),FailClosedTest#<class-level citation>; KernelPersistenceVerificationTest#<class-level citation>; KernelPersistenceVerificationTest#crossTenantWriteIsRejected; +3 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-013,DOC-04,JdbcTenantScopedAccess; MissingTenantContextException,"current_tenant_id (function, V001__tenant_context_and_enforcement.sql)",N/A (verified by document inspection; no code artifact is owed),FailClosedTest#<class-level citation>; KernelPersistenceVerificationTest#<class-level citation>; KernelPersistenceVerificationTest#requireDatabase; +2 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-014,DOC-04,N/A (verified by document inspection; no code artifact is owed),V001__tenant_context_and_enforcement.sql,N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#<class-level citation>; KernelPersistenceVerificationTest#applicationRoleCannotBypass; KernelPersistenceVerificationTest#bypassRolesAreEnumerated; +2 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-015,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-016,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-017,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-018,DOC-04,AttributeSchema,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),AttributeSchemaTest#<class-level citation>; AttributeSchemaTest#searchableRequiresASlot,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-019,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-020,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-021,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-022,DOC-04,N/A (verified by document inspection; no code artifact is owed),"audit_event (table, V002__audit_event.sql)",N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-023,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-024,DOC-04,N/A (verified by document inspection; no code artifact is owed),"audit_event_payload (table, V002__audit_event.sql); finding_asset_impact (table, V006__finding_identity.sql); hash_partition_counts (function, V006__finding_identity.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#closedEdgeCannotBeReopened; KernelPersistenceVerificationTest#hashPartitionCountsMatchTheRecordedBasis,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-025,DOC-04,N/A (verified by document inspection; no code artifact is owed),"ensure_audit_partitions (function, V002__audit_event.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#partitionRunwayIsProvisioned,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-026,DOC-04,OrgClosure,"org_closure_divergence (function, V004__organization_scope.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#closureDivergenceIsQueryable,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-027,DOC-04,CanonicalSerializer; ChainHasher; ChainVerifier,"audit_chain_checkpoint (table, V002__audit_event.sql); audit_event (table, V002__audit_event.sql)",N/A (verified by document inspection; no code artifact is owed),ChainIntegrityTest#erasureIsLocal; ChainIntegrityTest#spotCheckFromCheckpoint,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-028,DOC-04,N/A (verified by document inspection; no code artifact is owed),"audit_chain_checkpoint (table, V002__audit_event.sql)",N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-029,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-030,DOC-04,N/A (verified by document inspection; no code artifact is owed),"projections_without_tenant_prefix (function, V012__read_models.sql); rm_posture_aggregate (table, V012__read_models.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#projectionsAreTenantPrefixed,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-031,DOC-04,WorkloadRollup,"projection_staleness (function, V012__read_models.sql); rm_posture_aggregate (table, V012__read_models.sql)",N/A (verified by document inspection; no code artifact is owed),CapacityTest#divergenceIsDetectable,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-032,DOC-04,N/A (verified by document inspection; no code artifact is owed),"rm_latest_risk_score (table, V012__read_models.sql); rm_posture_aggregate (table, V012__read_models.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#latestScoreIsProjected,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-033,DOC-04,PipelineGate,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-034,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-035,DOC-04,PartitionPlan,"ensure_audit_partitions (function, V002__audit_event.sql); hash_partition_basis (table, V013__partition_runway.sql); severity_level (table, V006__finding_identity.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#hashPartitionCountsMatchTheRecordedBasis; PipelineAndRunbookTest#countsAgree,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-036,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-037,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-038,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DAT-039,DOC-04,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-DEP-001,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-LIC-001,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-001,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-002,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-003,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-004,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-005,DOC-01,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-006,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-007,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-008,DOC-02,RuntimeUnit,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),DeploymentTopologyTest#matchWorkersAreIsolated,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-009,DOC-02,Dispatcher,N/A (verified by document inspection; no code artifact is owed),PlatformOperations,N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-010,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),ModuleInventoryTest#<class-level citation>; ModuleInventoryTest#kernelInventoryMatchesTheCorpus; ModuleInventoryTest#moduleInventoryMatchesTheCorpus,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-011,DOC-02,AuditModule; AuthorizationModule; IdentityModule; +12 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),CrossModuleAccessTest#kernelReachesNoDomainModule; ModuleBoundaryTest#importPlatform,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-012,DOC-02,Condition; ConditionEvaluation; ConditionEvaluator; +2 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),RulesEngineTest#<class-level citation>; RulesEngineTest#subtreeMatchingUsesRecordedPath; RulesEngineTest#undefinedAgreesAcrossCallers; +4 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-013,DOC-02,AuthorizedQuery; FindingFingerprint; PipelineGate; +8 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),CrossModuleAccessTest#<class-level citation>; CrossModuleAccessTest#crossModuleAccessIsRestrictedToContracts; ModuleBoundaryTest#<class-level citation>; +1 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-014,DOC-02,AiAssistanceModule; AspmModule; AssessmentModule; +24 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),DependencyDirectionTest#<class-level citation>; DependencyDirectionTest#actualGraphIsWithinDeclaredGraph; DependencyDirectionTest#noMutualModuleDependency; +1 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-015,DOC-02,AssetMerge; src/kernel-verification/build.gradle.kts,V001__tenant_context_and_enforcement.sql,N/A (verified by document inspection; no code artifact is owed),CrossModuleAccessTest#<class-level citation>; CrossModuleAccessTest#crossModuleAccessIsRestrictedToContracts; ModuleBoundaryTest#<class-level citation>; +1 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-016,DOC-02,AuthorizationGateway; AuthorizationRequest; src/build.gradle.kts; +1 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),DependencyDirectionTest#noMutualModuleDependency; ModuleBoundaryTest#<class-level citation>; ModuleBoundaryTest#kernelGraphIsAcyclic; +2 more,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-017,DOC-02,AuditChainStore; JdbcTenantScopedAccess; PipelineGate; +2 more,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),FailClosedTest#<class-level citation>; LayeringTest#<class-level citation>; LayeringTest#domainIsPure,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-018,DOC-02,OrgNode,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),LayeringTest#domainDoesNotDependOutward,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-019,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-020,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-021,DOC-02,AuditChainStore; AuditRecorder; PartitionPlan; +1 more,"ensure_audit_partitions (function, V002__audit_event.sql); range_partition_runway_months (function, V013__partition_runway.sql)",N/A (verified by document inspection; no code artifact is owed),KernelPersistenceVerificationTest#everyRangePartitionedTableHasRunway; KernelPersistenceVerificationTest#partitionRunwayIsProvisioned; PipelineAndRunbookTest#unreconstructableTablesAreMarked,DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-022,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-023,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
CON-PLT-024,DOC-02,N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no code artifact is owed),N/A (verified by document inspection; no automated test is owed),DOCUMENT_INSPECTION,Active,priority MUST_HAVE
